id,reg,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,firstRegistrationDate
25830,N312DN,True,7364,A34E97,Delta Air Lines,321,A321,A321,321-211,189,2016-10-25,2016-10-25,2016-11-02,2016-11-02,Airbus A321,2,Jet,False,Airbus A321,8.4,True,1,2016-11-02
18964,N603NK,True,4321,A7D39A,Spirit Airlines,320,A320,A320,320-232,,2010-05-19,2010-05-19,2010-05-28,2010-05-28,Airbus A320,2,Jet,False,Airbus A320,14.8,True,1,2010-05-28
23613,N9017P,True,6085,AC763E,American Airlines,32D,A319,A319,319-115,128,2014-04-22,2014-04-22,2014-05-06,2014-05-06,Airbus A319,2,Jet,False,Airbus A319,10.9,True,1,2014-05-06
8831,N16703,True,28764,A10E23,United Airlines,73G,B737,B737,B737-724,126,1998-03-16,1998-03-16,1998-04-07,2011-11-30,Boeing 737-700,2,Jet,False,Boeing 737 NG,27.0,True,2,1998-04-07
25392,N157AA,True,6998,A0E431,American Airlines,321,A321,A321,321-231,181,2016-03-05,2016-03-05,2016-03-11,2016-03-11,Airbus A321,2,Jet,False,Airbus A321,9.0,True,1,2016-03-11
1985,N900AE,True,145885,AC6F31,Piedmont Airlines,ER4,E145,E135,145LR,,,,2005-01-25,2023-03-30,Embraer 145,2,Jet,False,Embraer ERJ145,20.1,True,3,2005-01-25
9003,N34222,True,28931,A3C775,United Airlines,738,B738,B738,B737-824,,1998-11-20,1998-11-20,1998-12-08,2010-12-10,Boeing 737-800,2,Jet,False,Boeing 737 NG,26.3,True,2,1998-12-08
2144448,N583DT,True,12051,A7816A,Delta Air Lines,32Q,A21N,A21N,321-271NX,,,,2024-08-20,2024-08-20,Airbus A321 NEO,2,Jet,False,Airbus A321 NEO,0.6,True,1,2024-08-20
2122848,N703NK,True,11383,A960E9,Spirit Airlines,32Q,A21N,A21N,321-271NX,235,,2023-06-26,2023-07-13,2023-07-13,Airbus A321 NEO,2,Jet,False,Airbus A321 NEO,1.7,True,1,2023-07-13
31507,N728YX,True,17000510,A9C380,Republic Airways,E75,E175,E175,175LR,,2015-09-29,,,2015-10-10,Embraer 175,2,Jet,False,Embraer ERJ170,9.5,True,1,2015-10-10
28364,N364NW,True,962,A41C69,Delta Air Lines,320,A320,A320,320-212,,1999-01-28,1999-01-28,1999-03-04,2009-07-08,Airbus A320,2,Jet,False,Airbus A320,26.1,True,2,1999-03-04
2122,N615AE,True,145087,A80156,Envoy Air,ER4,E145,E145,145LR,50,,,1998-10-27,2018-10-10,Embraer 145,2,Jet,False,Embraer ERJ145,26.4,True,4,1998-10-27
11535,N456WN,True,32463,A58A67,Southwest Airlines,73G,B737,B737,B737-7H4,,2004-03-30,2004-03-30,2004-04-12,2004-04-12,Boeing 737-700,2,Jet,False,Boeing 737 NG,20.9,True,1,2004-04-12
